company,date,Revenue,PAT,EBITDA,EPS Basic,EPS Diluted,file_url
360 ONE WAM LTD,2025-07-17T16:31:52.283,980.04,284.67,,7.16,6.95,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8f8ca483-400a-40cc-9f11-20edc315d955.pdf
3M India Ltd,2025-08-07T13:15:55.247,11959687,1776864,25700,157.73,157.73,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=09487024-de33-4579-b2ac-0afde2e39b0e.pdf
Aadhar Housing Finance Ltd,2025-07-25T16:25:16.603,84818,23728,,5.5,5.37,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=80a738bc-b99d-4c4b-b0ff-4d75f2a619fe.pdf
Aarti Industries Ltd,2025-07-31T17:55:11.04,1676,43,,1.19,1.19,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9e0fd940-cac7-48cd-83d5-ff7a18d0af43.pdf
AAVAS Financiers Ltd,2025-08-12T16:46:14.237,62756.11,13923.34,,17.59,17.45,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bcfb6692-d337-4264-bba1-9e961ebe7db2.pdf
ABB India Ltd,2025-08-02T16:10:25.33,3175.44,351.74,,16.6,16.6,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=78d32e52-a5ac-4b2e-8e72-a040bb46f604.pdf
Abbott India Ltd,2025-08-12T13:16:02.25,1738.35,365.86,,172.17,172.17,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=e2697b15-bbc8-45e5-beac-f470b7dc0a66.pdf
Abbott India Ltd,2025-08-12T13:07:48.42,1738.35,365.86,,172.17,172.17,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=169a7fa4-35a3-4031-8c5c-8c9496db16e8.pdf
ACC Ltd,2025-07-24T13:25:22.207,6035.11,375.42,,19.99,19.94,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=79b745df-28d7-40f4-9154-8c5084fd21e0.pdf
ACME Solar Holdings Ltd,2025-07-25T20:36:46.897,,,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0008aaf1-029d-4d4c-90a9-040bf0931d77.pdf
Action Construction Equipment Ltd,2025-08-08T16:37:01.76,65208,9772,,8.21,8.21,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=405a12da-8a3b-4c85-aa2e-ff0e56d0e47e.pdf
Adani Energy Solutions Ltd,2025-07-24T15:20:40.393,6819.28,538.94,,4.27,4.27,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f45c43bb-6d67-4e6a-9e9f-11ef8c1d71a4.pdf
Adani Enterprises Ltd,2025-07-31T14:45:15.29,21961.2,976.48,,6.02,6.02,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=074f8c77-ea1c-4345-9d01-c5859b2f45aa.pdf
Adani Green Energy Ltd,2025-07-28T14:46:35.247,3312,824,3108,4.26,4.26,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=33236ff1-5a1a-4d4f-9788-6c894ed71d9f.pdf
Adani Ports and Special Economic Zone Ltd,2025-08-05T13:39:03.42,9126.14,3310.6,5482.81,15.34,15.34,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b1755b9b-db34-46ac-a8a2-449f9859aab1.pdf
Adani Power Ltd,2025-08-01T12:39:42.743,14167.49,3305.13,5743.62,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=676d174f-8b08-4451-8958-8a813c4fe47a.pdf
Adani Total Gas Ltd,2025-07-28T17:38:39.463,1498.32,165.24,,1.5,1.5,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8f91edff-f2de-4b7a-9efe-89dd9a33ea06.pdf
Aditya Birla Capital Ltd,2025-08-04T14:27:52.11,11333,835,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c9efb331-a7a9-45eb-a645-aabcd13c6b7d.pdf
Aditya Birla Fashion and Retail Ltd,2025-08-13T19:52:04.68,1831.46,-233.73,,,,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=44b69924-af23-499a-b812-6618dcaaf4e6.pdf
Aditya Birla Real Estate Ltd,2025-07-23T13:21:39.457,157.41,-27.08,,-2.3,-2.3,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=eca5acc5-ca62-46b6-9e50-6c5c5a57a157.pdf
Aditya Birla Sun Life AMC Ltd,2025-07-24T13:43:58.79,447.39,277.11,,9.6,9.59,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d3cf9e4f-4d00-4df1-a589-68aa261c4b04.pdf
Aegis Logistics Ltd,2025-08-07T12:18:59.587,171941,17536,,3.74,3.74,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=f2179442-73d9-4853-af73-8b7f69393227.pdf
Afcons Infrastructure Ltd,2025-08-08T16:14:40.75,3370,137,445,3.74,3.74,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c4d48308-1101-47ff-bad9-fea8aafb1233.pdf
Affle 3I Ltd,2025-07-26T15:22:31.477,6207.4,1055,,7.52,7.5,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8e7b0d39-b049-4d82-aab4-8787ca60a491.pdf
AIA Engineering Ltd,2025-08-13T15:28:19.567,103894.71,30516.78,,32.69,32.69,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=139d0df2-72bd-43f8-b0fd-6e5bf287b183.pdf
AIA Engineering Ltd,2025-08-13T13:43:26.133,103894.71,30516.78,,32.69,32.69,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=fb57ae24-97de-4b67-afde-d9d5c8f5e300.pdf
Ajanta Pharma Ltd,2025-07-28T14:59:53.447,1302.65,255.34,351,20.44,20.43,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4cf818b5-e94c-4440-983a-30cdf70e514c.pdf
Akums Drugs and Pharmaceuticals Ltd,2025-08-08T17:31:15.217,10240.32,646.85,1314.66,4.15,4.15,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4a247694-4f14-4fde-a31f-24a5236565a1.pdf
Alembic Pharmaceuticals Ltd,2025-08-05T13:21:11.273,1710.72,154.38,288.09,7.85,7.85,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=cefcecec-aceb-453e-85f8-e1b83fd2b5de.pdf
Alivus Life Sciences Ltd,2025-08-01T19:01:12.16,6018.46,1215.35,,9.91,9.88,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=698425f2-b287-4aa8-9ee0-db5d3dc8b678.pdf
Alkem Laboratories Ltd,2025-08-12T13:32:37.38,33711,6643,7391,55.6,55.6,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=ea91a609-60ad-46b1-8ed3-a996c6833f70.pdf
