,id,company,sec_code,headline,file_url,time,Earliest Publish Time,Earliest Publish Type
0,efa43d33-b70f-422e-b5df-dd45870a7828,360 ONE WAM LTD,542772,RESULTS FOR QUARTER AND FINANCIAL YEAR ENDED MARCH 31 2024,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=322adefa-03a0-4cdf-9feb-a6e28bf33a79.pdf,2024-04-23T18:20:25.653,2024-04-23 18:15:09.630,Board Meeting
1,91a3cee6-697d-4ab9-89ef-66cbf2c4c639,ACC Ltd,500410,"Audited Financial Results For The Quarter And Financial Year Ended 31St March, 2024 And Declaration Of Final Dividend.",https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=920b109d-cff1-459a-9418-e48d1ebc785e.pdf,2024-04-25T14:50:37.727,2024-04-25 14:43:02.557,Board Meeting
2,3659a085-7333-49c3-891d-162786a9575e,AU Small Finance Bank Ltd,540611,"Outcome Of Board Meeting Of AU Small Finance Bank Limited Held On April 24, 2024",https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c56aace0-372f-439e-ac54-6fc18a1ce75c.pdf,2024-04-24T16:10:35.87,2024-04-24 16:01:01.387,Board Meeting
3,63f77839-8859-4237-badf-06c6b5147548,AWL Agri Business Ltd,543458,Outcome Of Board Meeting For Standalone And Consolidated Audited Financial Results For The Quarter And Year Ended 31St March 2024,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=0ec330ef-74f6-4136-8d76-87957866d53d.pdf,2024-05-01T14:46:02.467,2024-05-01 14:39:43.833,Board Meeting
4,a3de6e1f-8d74-4f0a-8100-d19b6476efbc,AAVAS Financiers Ltd,541988,"Audited Financial Results For The Quarter And Financial Year Ended March 31, 2024",https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=bc4bad99-08b1-4147-bcdb-5d457b94b170.pdf,2024-04-25T15:35:22.657,2024-04-25 15:35:22.657,Financial Results
5,8d89e9e8-2669-4ac6-a426-715d18e75394,Adani Energy Solutions Ltd,539254,"Board Meeting Outcome for Outcome Of Board Meeting Held On April 30, 2024 And Submission Of Audited Financial Results (Standalone And Consolidated) For The Quarter And Year Ended March 31, 2024",https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=a013ff69-c31e-4481-b9e0-3f4152ea9f6b.pdf,2024-04-30T21:58:09.377,2024-04-30 21:58:09.377,Financial Results
6,e571c383-4f08-4bb9-8735-7e5af449aeba,Adani Power Ltd,533096,"Results - Financial Results For March 31, 2024",https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7da2e9ee-01d4-4116-9ad1-db0db929459b.pdf,2024-05-01T19:09:14.68,2024-05-01 19:09:14.680,Financial Results
7,09fa757c-94eb-4ecf-9c67-c5fe728cb097,Adani Total Gas Ltd,542066,Outcome Of Board Meeting Held On 30Th April 2024 And Submission Of Audited Financial Results (Standalone And Consolidated) For The Quarter And Year Ended 31St March 2024,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=d887f22c-10e8-46a0-9dd0-a4e8aba64802.pdf,2024-04-30T17:54:10.23,2024-04-30 17:54:10.230,Financial Results
8,b542ab79-63f8-4e8e-af2a-86e2d5f57f12,Aditya Birla Sun Life AMC Ltd,543374,"Audited Financial Results (Standalone And Consolidated) For The Financial Year Ended March 31, 2024",https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=439b52c7-6ce6-417e-909e-0c309948f972.pdf,2024-04-26T18:34:51.27,2024-04-26 18:26:49.183,Board Meeting
9,09069e75-8b0f-4c5f-b420-96061e5d6b70,Alivus Life Sciences Ltd,543322,Audited Financial Results,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=b4425b5d-9f06-471f-882b-e95c00b92ac0.pdf,2024-04-25T14:50:16.783,2024-04-25 14:50:16.783,Financial Results
10,60430343-b06b-49a5-b8d7-fc43c1152803,Alok Industries Ltd,521070,"Audited Financial Results (Standalone And Consolidated) For  The Quarter/ Year Ended 31St March, 2024.",https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=4a630c2d-1949-497a-a037-d3aaf9c69ba9.pdf,2024-04-20T19:26:07.95,2024-04-20 19:00:25.983,Board Meeting
11,02d92061-6595-4705-9d5c-0364c931a6c0,Ambuja Cements Ltd,500425,"Audited Financial Results For Quarter And Year Ended 31St March, 2024 And Declaration Of Final Dividend.",https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=8a90d3d8-660d-46a4-ac01-3e7e59ccdf46.pdf,2024-05-01T13:33:33.47,2024-05-01 13:28:30.993,Board Meeting
12,6c6b6108-cb46-46f6-a9bf-cd6a677dda79,Anand Rathi Wealth Ltd,543415,"Audited Financial Result For The Year Ended 31St March, 2024",https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=30991259-11e7-4528-82de-cbf9c0eb78d6.pdf,2024-04-12T18:30:02.803,2024-04-12 18:14:01.943,Board Meeting
13,4ea32663-8aa8-4ede-9229-489c04d4a96d,Anant Raj Ltd-$,515055,Audited Financial Results And Recommendation Of A Final Dividend,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2f3e39b8-af19-4b53-bb18-38121595ff2d.pdf,2024-04-24T20:09:17.197,2024-04-24 20:09:17.197,Financial Results
14,1524f434-9dd5-45ea-bcf9-ff16c315e7ce,Angel One Ltd,543235,"Results For Quarter And Year Ended March 31,2024",https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=c4414e1a-1ff4-4bd1-a734-026e661948b1.pdf,2024-04-17T18:27:45.983,2024-04-17 18:13:22.733,Board Meeting
15,4fe0a64c-feeb-4957-845d-26a4ddcaddb1,Atul Ltd,500027,"Results For Financial Year Ended March 31, 2024",https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=9431fc2f-e124-492b-b646-9875fe5ae302.pdf,2024-04-26T14:33:02.02,2024-04-26 14:33:02.020,Financial Results
16,45c7f2cc-4cc4-4997-a728-e8cdb27918c5,AXIS Bank Ltd,532215,Financial Results,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=7c90756f-dc8a-478b-bb26-0bb1cdfa42a7.pdf,2024-04-24T16:29:15.593,2024-04-24 16:29:15.593,Financial Results
17,31f783a4-7a86-4efa-af6e-f9f866ddff52,Bajaj Auto Ltd,532977,Audited Standalone And Consolidated Financial Results For The Quarter And Year Ended 31 March 2024,https://www.bseindia.com/stockinfo/AnnPdfOpen.aspx?Pname=2d299516-08b7-427d-9ce1-8692c1c86fcf.pdf,2024-04-18T16:44:59.967,2024-04-18 16:44:59.967,Financial Results
